地球	Earth
オリジン	Origin
エブベジア	Evbejia
ザッカートの試練	Trial of Zakkart
精神侵食ストーンサークル	Mental Encroachment stone circle
サウロン	Sauron
アフリカ	Africa
コービット	Corbit	Duchy
アーサッバ	Arsava	Duchy
アルクレム	Alcrem	Duchy
ビルギット	Birgit
ジャハン	Jahan
ファゾン	Farzon
モークシー	Moksi
マルムーク	Marmook	Iron-Nation
ダークエルフ国	Dark Elf nation
グール国	Ghoul nation
ハイコボルト国	High Kobold nation
ノーブルオーク王国	Noble Orc kingdom
ラムダ	Lambda
タロスヘイム	Talosheim
ハイゴブリン国	High Goblin nation
人魚国	Merfolk nation
ラミア国	Lamia nation
竜人国	Ryuujin nation
ケンタウロス国	Centaur nation
ハーピィー国	Harpy nation
ハーピィ国	Harpy nation
魔人国	Majin nation
鬼人国	Kijin nation
バーンガイア	Bahn Gaia
アミッド帝国	Amid Empire
ミルグ盾国	Mirg Shield Nation
オルバウム選王国	Orbaum Kingdom
ヴィダの寝所	Vida’s Resting Ground
公衆浴場	Public bathhouse
カプリコーン農場	Capricorn farm
カプリコーン乳加工場	Capricorn milking factory
ヒュージカピバラ牧場	Huge Capybara farm
魔鴨の養殖場	Duck farm
サウロン解放戦線アジト	Sauron Liberation Front base
ニアーキ	Niarki
境界山脈	Boundary Mountain Range
ガランの谷	Garan’s Valley
公爵領	Duchy
オルバウム	Orbaum
ハジャン	Hajan	Duke is a Titan
ガルトランド	Gartland
冒険者学	Adventurer's School
アミッド	Amid
太陽の都	Capital of the Sun
ナインランド	Nineland	Capital of Hartner
ヴィダル	Vidal
帝国	Empire
魔帝国	Magic Empire
カラハッド	Kallahad	Amid
スラム	Slum
ガルドランド	Gardland
アース	EARTH	The other Earth
疑似神域	Pseudo-God Area
魔大陸	Demon continent
王国	Kingdom
鉄の国	Iron Nation	Marmook
穀国	Grain Nation	Yondo
ヨンド	Yondo	Grain Nation
海国	Sea Nation	Calahad
カラハッド	Callahad	Sea Nation
ガレス古戦場	Garess' Battlegrounds	Fitun's Dungeon new name
荒野の聖地	Wild Holy Land	Alcrem
大陸	Continent
ビーチ	Beach
帝都	Imperial Capital
ワクニョロヴァンランド	Waku Nyoro Van Land
イトバム	Itobam	near Moksi
ムクドリの宿	Starling Inn	Inn in Talosheim
神域	Divine Realm	Sanctuary
世界	world
遊園地	Amusement Park
試練のダンジョン	Trial's Dungeon
病室	sickroom
五神の城塞	Cidatel of the Five Gods	B-Class Dungeon in Gartland
自治区	Autonomous Region
合衆国	Federal States	Not-United States
北欧連邦	Northern Europe Federation
中華共和国	Chinese Republic (not-URSS)	Chinese Republic
沼沢地	Marshlands
中央	Center	Orbaum
精神治療院	Psychiatric clinic
ラベルタ列島	Laberta Archipelago
支部	branch
地区	district
部屋	room
公営	State Managed
交換所	Place of Exchange
配給所	Place of Distribution
田んぼ	Rice fields
仮神域	Provisional Divine Realm
元スキュラ族自治区	Former Scylla Autonomous Region
劇場	theater
予備校	Preparatory School
避難所	Shelter
